MAX_LEN,MAX_THRESHOLD,MIN_LEN,MIN_THRESHOLD,N_ASSEMBLIES,SPECIES
3571103,3928213.3000000003,3569196,3212276.4,5,Synechocystis sp.
4990251,5489276.100000001,4990251,4491225.9,1,Syntrophobacter fumaroxidans
3406739,3747412.9000000004,3406739,3066065.1,1,Syntrophobotulus glycolicus
2936195,3229814.5000000005,2936195,2642575.5,1,Syntrophomonas wolfei
2405559,2646114.9000000004,2405559,2165003.1,1,Syntrophothermus lipocalidus
3179300,3497230.0000000005,3179300,2861370.0,1,Syntrophus aciditrophicus
3405521,3746073.1,3350939,3015845.1,3,Tannerella forsythia
3310028,3641030.8000000003,3310028,2979025.2,1,Tatlockia micdadei
1638559,1802414.9000000001,1540266,1386239.4000000001,2,Taylorella asinigenitalis
1732123,1905335.3,1652885,1487596.5,3,Taylorella equigenitalis
2918253,3210078.3000000003,2918253,2626427.7,1,Tenacibaculum dicentrarchi
2759867,3035853.7,2759867,2483880.3000000003,1,Tepidanaerobacter acetatoxydans
2855894,3141483.4000000004,2855894,2570304.6,1,Tepidibacillus sp.
4404964,4845460.4,4404964,3964467.6,1,Teredinibacter sp.
5193164,5693164.0,5193164,4693164.0,1,Teredinibacter turnerae
3488643,3837507.3000000003,3488643,3139778.7,1,Terribacillus aidingensis
5227858,5727858.0,5227858,4727858.0,1,Terriglobus roseus
5095226,5595226.0,5095226,4595226.0,1,Terriglobus saanensis
2562720,2818992.0,2562720,2306448.0,1,Tetragenococcus halophilus
4264973,4691470.300000001,4264973,3838475.7,1,Tetrasphaera australiensis
3174691,3492160.1,3174691,2857221.9,1,Tetrasphaera elongata
5162321,5662321.0,5162321,4662321.0,1,Tetrasphaera japonica
3809986,4190984.6000000006,3809986,3428987.4,1,Tetrasphaera jenkinsii
3487925,3836717.5000000005,3487925,3139132.5,1,Thalassobium sp.
3920328,4312360.800000001,3764053,3387647.7,2,Thalassolituus oleivorans
4790004,5269004.4,54895,49405.5,2,Thalassospira sp.
4576570,5034227.0,4576570,4118913.0,1,Thalassospira xiamenensis
4496212,4945833.2,4496212,4046590.8000000003,1,Thauera sp.
2939057,3232962.7,2939057,2645151.3000000003,1,Thermacetogenium phaeum
2844696,3129165.6,2844696,2560226.4,1,Thermaerobacter marianensis
1848474,2033321.4000000001,1848474,1663626.6,1,Thermanaerovibrio acidaminovorans
1880838,2068921.8000000003,1880838,1692754.2,1,Thermanaerovibrio velox
3657623,4023385.3000000003,3657623,3291860.7,1,Thermicanus aegyptius
3157416,3473157.6,3157416,2841674.4,1,Thermincola potens
2344824,2579306.4000000004,2344824,2110341.6,1,Thermoanaerobacter brockii
2597606,2857366.6,2597606,2337845.4,1,Thermoanaerobacter indiensis
2451061,2696167.1,2451061,2205954.9,1,Thermoanaerobacter italicus
2397824,2637606.4000000004,2397824,2158041.6,1,Thermoanaerobacter kivui
2306092,2536701.2,2306092,2075482.8,1,Thermoanaerobacter mathranii
2362816,2599097.6,2362816,2126534.4,1,Thermoanaerobacter pseudethanolicus
2540159,2794174.9000000004,2540159,2286143.1,1,Thermoanaerobacter siderophilus
2457259,2702984.9000000004,2456520,2210868.0,2,Thermoanaerobacter sp.
2785056,3063561.6,2785056,2506550.4,1,Thermoanaerobacter wiegelii
2726530,2999183.0000000005,2726530,2453877.0,1,Thermoanaerobacterium saccharolyticum
2785752,3064327.2,2783395,2505055.5,2,Thermoanaerobacterium thermosaccharolyticum
2534358,2787793.8000000003,2534358,2280922.2,1,Thermoanaerobacterium xylanolyticum
4206343,4626977.300000001,4206343,3785708.7,1,Thermobacillus composti
3642249,4006473.9000000004,3642249,3278024.1,1,Thermobifida fusca
4189976,4608973.600000001,4189976,3770978.4,1,Thermobispora bispora
1500577,1650634.7000000002,1500577,1350519.3,1,Thermocrinis albus
1521037,1673140.7000000002,1521037,1368933.3,1,Thermocrinis ruber
2322224,2554446.4000000004,2322224,2090001.6,1,Thermodesulfatator indicus
1814952,1996447.2000000002,1814952,1633456.8,1,Thermodesulfobacteriaceae bacterium
1764045,1940449.5000000002,1764045,1587640.5,1,Thermodesulfobacterium commune
1634377,1797814.7000000002,1634377,1470939.3,1,Thermodesulfobacterium geofontis
1898865,2088751.5000000002,1898865,1708978.5,1,Thermodesulfobium narugense
2003803,2204183.3000000003,2003803,1803422.7,1,Thermodesulfovibrio yellowstonii
5607959,6107959.0,5607959,5107959.0,1,Thermogemmatispora carboxidivorans
5639016,6139016.0,5639016,5139016.0,1,Thermomonospora curvata
2280035,2508038.5,2280035,2052031.5,1,Thermosediminibacter oceani
2016657,2218322.7,2016657,1814991.3,1,Thermosipho africanus
1915238,2106761.8000000003,1915238,1723714.2,1,Thermosipho melanesiensis
1781851,1960036.1,1781851,1603665.9000000001,1,Thermosipho sp.
1816670,1998337.0000000002,1816670,1635003.0,1,Thermosulfidibacter takaii
2593857,2853242.7,2593857,2334471.3000000003,1,Thermosynechococcus elongatus
2520064,2772070.4000000004,2520064,2268057.6,1,Thermosynechococcus sp.
2014912,2216403.2,2014912,1813420.8,1,Thermotoga caldifontis
1869610,2056571.0000000002,1859582,1673623.8,3,Thermotoga maritima
1809823,1990805.3,1809823,1628840.7,1,Thermotoga naphthophila
1884562,2073018.2000000002,1884562,1696105.8,1,Thermotoga neapolitana
1823511,2005862.1,1823511,1641159.9000000001,1,Thermotoga petrophila
2187612,2406373.2,2187612,1968850.8,1,Thermotoga profunda
1877693,2065462.3000000003,1749904,1574913.6,4,Thermotoga sp.
1682965,1851261.5000000002,1682965,1514668.5,1,Thermovibrio ammonificans
1967774,2164551.4000000004,1967774,1770996.6,1,Thermovirga lienii
2046548,2251202.8000000003,2046548,1841893.2,1,Thermus caliditerrae
2346803,2581483.3000000003,2323516,2091164.4000000001,2,Thermus scotoductus
2243772,2468149.2,2055291,1849761.9000000001,2,Thermus sp.
2158359,2374194.9000000004,2158359,1942523.1,1,Thioalkalimicrobium aerophilum
1932455,2125700.5,1932455,1739209.5,1,Thioalkalimicrobium cyclicum
4002352,4402587.2,4002352,3602116.8000000003,1,Thioalkalivibrio nitratireducens
3756729,4132401.9000000004,3756729,3381056.1,1,Thioalkalivibrio paradoxus
2744800,3019280.0000000005,2744800,2470320.0,1,Thioalkalivibrio sp.
3464554,3811009.4000000004,3464554,3118098.6,1,Thioalkalivibrio sulfidiphilus
3405355,3745890.5000000005,3405355,3064819.5,1,Thioalkalivibrio thiocyanodenitrificans
2969361,3266297.1,2969361,2672424.9,1,Thioalkalivibrio versutus
2909809,3200789.9000000004,2909809,2618828.1,1,Thiobacillus denitrificans
5017071,5517071.0,5017071,4517071.0,1,Thiocystis violascens
4048921,4453813.100000001,4048921,3644028.9,1,Thioflavicoccus mobilis
3129662,3442628.2,3129662,2816695.8000000003,1,Thiolapillus brandeum
2441997,2686196.7,2441997,2197797.3000000003,1,Thiomicrospira chilensis
2427734,2670507.4000000004,2427734,2184960.6,1,Thiomicrospira crunogena
